Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
869029,Château Suduiraut,,Vitt vin,3004,359.0,Bordeaux,Château Suduiraut,1999.0,14.00%,Sott,Vingarden ar planterad med 90% semillon och 10% sauvignon blanc.
869247,Campo Leòn,Amarone Della Valpolicella,Rott vin,73821,304.0,Venetien,Latium Morini,2013.0,16.00%,Kryddigt & Mustigt,"70% corvina, 20% rondinella och 10% oseleta."
869770,Christer Berens,Primitivo,Rott vin,78302,79.0,Apulien,Christer Berens AS,2016.0,13.50%,Fruktigt & Smakrikt,Primitivo.
871232,Cremant de Loire Brut,Moncontour,Mousserande vin,7474,133.0,Loiredalen,Caves du Val de France,,12.50%,Vitt Torrt,Chenin blanc och chardonnay.
871482,Borgogno,Langhe Rosso,Rott vin,70384,109.0,Piemonte,Giacomo Borgogno,2016.0,13.00%,Kryddigt & Mustigt,
872069,Per Ols Vida,,Vitt vin,78304,226.0,Skane lan,osterlenvin,2016.0,14.50%,Friskt & Fruktigt,Solaris.
872075,Ribera 1 One,,Rott vin,3027,99.0,Ribera del Duero,Bodegas Aster,2013.0,14.00%,Stramt & Nyanserat,Tempranillo.
872511,Bolla Le Poiane,Amarone,Rott vin,70215,259.0,Venetien,Bolla,2012.0,16.00%,Kryddigt & Mustigt,
873095,Jules Muller,Pinot Gris Reserve,Vitt vin,70699,105.0,Alsace,Jules Muller,2015.0,13.50%,Druvigt & Blommigt,Pinot gris.
873502,El Miracle,Brut,Mousserande vin,74548,99.0,Cava,Vicente Gandía,,11.50%,Vitt Torrt,
